lc_code,inst,faculty,dept
30100581,"Universitas Manado","Fakultas Bahasa dan Seni","Prodi S1 Bahasa dan Sastra Inggris Jurusan Pendidikan Bahasa dan Sastra Inggris Fakultas Bahasa dan Seni"
30100582,"Universitas Sam Ratulangi","Fakultas Kedokteran","Program Studi Pendidikan Dokter Spesialis 1 Ilmu Kesehatan 1"
30100583,"Universitas Sriwijaya","Fakultas Fakultas Teknik","Program Studi S1 Teknik Sipil Jurusan Teknik Sipil dan Perencanaan 2"
30100587,"Politeknik Negeri Semarang",NULL,"Unit Penunjang Akademik Pengembangan Teknologi dan Produk Unggulan"
30100588,"Politeknik Negeri Banjarmasin","Jurusan Teknik Sipil dan Kebumian","D3 Teknik Sipil"
30100589,"Politeknik Negeri Pontianak","Jurusan Teknik Arsitektur","D4 Arsitektur Bangunan Gedung"
30100592,"Institut Seni Indonesia Padang","Fakultas Seni Rupa dan Desain","Program Studi S1 Desain 3"
30100594,"Politeknik Negeri Media Kreatif","Bagian Perencanaan Keuangan dan Umum",NULL
30100601,"Politeknik Negeri Medan","Jurusan Akuntansi","D3 Akuntansi"
30100605,"Politeknik Negeri Sriwijaya","Jurusan Manajemen Informatika","D4 Manajemen Informatika Jurusan Manajemen Informatika"
30100606,"Universitas Sriwijaya","Fakultas Fakultas Kedokteran","Program Studi S1 Pendidikan Dokter Bagian Pendidikan Kedokteran 15"
30100607,"Politeknik Negeri Medan",NULL,"Unit Penunjang Akademik Pengembangan Karier dan Kewirausahaan"
30100609,"Politeknik Negeri Ambon","Bagian Akademik Kemahasiswaan dan Perencanaan",NULL
30100611,"Politeknik Negeri Bandung","Jurusan Akuntansi","S2 Keuangan dan Perbankan Syariah Terapan Jurusan Akuntansi"
30100618,"Politeknik Negeri Tanah Laut","Jurusan Komputer dan Bisnis","D3 Teknologi Informasi Jurusan Komputer dan Bisnis"
30100627,"Universitas Pendidikan Ganesha","Fakultas Teknik dan Kejuruan","Program Studi S1 Pendidikan Teknik Mesin 2"
30100628,"Universitas Jambi","Fakultas Pendidikan Ekonomi Fakultas Keguruan dan Ilmu Pendidikan","Prodi S2 2"
30100629,"Politeknik Negeri Bengkalis","Jurusan Teknik Mesin","Program Studi D3 Teknik Mesin"
30100630,"Universitas Jambi","Fakultas dan Teknologi","Prodi S1 Sistem Informasi Fakultas Sains 4"
30100630,"Universitas Jambi","Fakultas dan Teknologi","Prodi S1 Sistem Informasi Fakultas Sains 9"
30100633,"Politeknik Perikanan Negeri Tual","Jurusan Rekayasa Perikanan dan Kelautan","Program Studi D3 Teknologi Penangkapan Ikan"
30100634,"Universitas Borneo Tarakan","Fakultas Keguruan dan Ilmu Pendidikan","Program Studi S1 2"
30100634,"Universitas Borneo Tarakan","Fakultas Keguruan dan Ilmu Pendidikan","Program Studi S1 7"
30100635,"Universitas Jambi","Fakultas Fakultas Keguruan dan Ilmu Pendidikan","Prodi S1 Seni Karawitan 2"
30100637,NULL,"Fakultas Kedokteran Gigi","Program Studi Pendidikan Profesi Dokter Gigi"
30100639,"Politeknik Negeri Madura","Bagian Akademik Kemahasiswaan dan Umum","Subbagian Umum"
30100645,"Universitas Sultan Ageng","Fakultas Keguruan dan Ilmu Pendidikan","Jurusan S1 Pendidkan Bahasa 2"
30100651,"Politeknik Negeri Sriwijaya","Jurusan Teknik Mesin","D4 Teknik Mesin Produksi dan Perawatan (Kampus Kab. Siak) Jurusan Teknik Mesin"
30100652,"Universitas Manado","Fakultas Bahasa dan Seni","Prodi. S1 Pendidikan Bahasa Perancis 1"
30100656,"Universitas Palangka Raya","Fakultas Keguruan dan Ilmu Pendidikan","Prodi S1 3"
30100661,"Politeknik Pertanian Negeri Payakumbuh","Jurusan Bisnis Pertanian",NULL
30100664,"Politeknik Negeri Manado","Bagian Akademik Kemahasiswaan dan Kerja Sama",NULL
30100666,"Universitas Lambung Mangkurat","FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM","Prodi S1"
30100669,"Politeknik Negeri Manado","Jurusan Teknik Elektro","D4 Teknik Listrik Jurusan Teknik Elektro"
30100670,"Politeknik Negeri Bandung","Jurusan Akuntansi","D3 Keuangan dan Perbankan Jurusan Akuntansi"
30100672,"Politeknik Negeri Pontianak","Jurusan Teknik Elektro","D3 Teknologi Informasi PSDKU Singkawang"
30100673,"Politeknik Negeri Semarang","Jurusan Teknik Elektro","Program Studi D3"
30100678,"Politeknik Pertanian Negeri Samarinda","Jurusan Rekayasa dan Komputer","D4 Teknologi Rekayasa Perangkat Lunak Jurusan Rekayasa dan Komputer"
30100679,"Universitas Samudra","Fakultas Prodi S1 Pendidikan Matematika Jurusan Pendidikan Matematika dan Ilmu Pengetahuan Alam","Fakultas Prodi S1 Pendidikan Matematika Jurusan Pendidikan Matematika dan Ilmu Pengetahuan Alam"
30100683,"Universitas Negeri Makassar","Fakultas Teknik","Program Studi D4 Teknik Elektronika Pendidikan Teknik 4"
30100684,"Politeknik Negeri Subang","Jurusan Teknik Perawatan dan Perbaikan Mesin","D3 Pemeliharaan Mesin"
30100685,"Universitas Cenderawasih","Fakultas Ilmu Sosial dan Ilmu Politik","Prodi S1 Administrasi Publik 7"
30100687,"Politeknik Negeri Pontianak","Jurusan Akuntansi","D4 Akuntansi Sektor Publik PSDKU Kab. Sukamara"
30100691,"Politeknik Pertanian Negeri Payakumbuh",NULL,"Unit Penunjang Akademik Teknologi Informasi dan Komputer"
30100694,"Politeknik Negeri Bali","Jurusan Akuntansi","D4 Akuntansi Manajerial"
30100695,"Politeknik Negeri Samarinda","Jurusan Teknik Kimia","D4 Teknologi Kimia Industri Jurusan Teknik Kimia"
30100701,"Politeknik Negeri Banyuwangi","Jurusan Pariwisata","D4 Manajemen Bisnis Pariwisata Jurusan Pariwisata"
30100702,"Universitas Negeri Makassar","Fakultas Teknik","Program Studi S1 Pendidikan Kesejahteraan Keluarga 4"
30100703,"Politeknik Negeri Tanah Laut","Jurusan Teknologi Industri Pertanian","D4 Teknologi Pakan Ternak Jurusan Teknologi Industri Pertanian"
30100704,"Politeknik Negeri Samarinda","Jurusan Teknik Sipil","D4 Teknologi Rekayasa Kontruksi Bangunan Gedung Jurusan Teknik Sipil"
30100706,"Politeknik Negeri Semarang","Jurusan Teknik Mesin","Program Studi D3"
30100709,"Politeknik Pertanian Negeri Samarinda","Jurusan Pertanian","D3 Budidaya Tanaman Perkebunan Jurusan Pertanian"
30100710,NULL,"Fakultas Ekonomi dan Bisnis","Program Studi Sarjana (S1) Manajemen"
30100714,"Politeknik Pertanian Negeri Samarinda","Jurusan Lingkungan dan Kehutanan","D3 Pengelolaan Lingkungan Jurusan Lingkungan dan Kehutanan"
30100716,"Politeknik Negeri Bandung","Jurusan Teknik Refrigerasi Dan Tata Udara","D4 Teknik Pendingin dan Tata Udara Jurusan Teknik Refrigerasi dan Tata udara"
30100717,"Universitas Pattimura","Fakultas Teknik Universitas Pattimura","Prodi S1 Teknik Geofisika Jurusan Teknik Geologi Fakultas 2"
30100721,"Politeknik Negeri Sriwijaya","Jurusan Bahasa Inggris","D3 Bahasa Inggris Jurusan Bahasa Inggris"
30100722,"Universitas Negeri Makassar","Fakultas Bahasa dan Sastra","Program Studi S1 Pendidikan Bahasa Jerman Jurusan 1"
30100727,"Politeknik Pertanian Negeri Payakumbuh","Jurusan Budidaya Tanaman","Program Studi Teknologi Produksi Tanaman Pangan"
30100732,"Universitas Tanjungpura","Fakultas Matematika dan Ilmu Pengetahuan Alam","Prodi S1 3"
30100737,"Universitas Manado","Fakultas Ilmu Sosial dan Hukum","S1 Geografi Jurusan Pendidikan Geografi Fakultas Ilmu Sosial dan Hukum"
30100743,"Politeknik Negeri Bali","Jurusan Administrasi Bisnis","D4 Bisnis Digital"
30100744,"Universitas Sultan Ageng","Fakultas Keguruan dan Ilmu Pendidikan","Jurusan S1 Pendidikan Bahasa Inggris 2"
30100754,"Universitas Negeri Makassar","Fakultas Seni dan Desain","Program Studi S1 Pendidikan Seni Rupa Jurusan 7"
30100761,"Politeknik Negeri Padang","Bagian Keuangan dan Umum",NULL
30100764,"Politeknik Negeri Media Kreatif","Jurusan Desain Grafis","Program Studi D3 Desain Grafis"
30100765,"Politeknik Negeri Ujung Pandang","Jurusan Teknik Mesin","D4 Teknik Mekatronika"
30100766,"Universitas Negeri Makassar","Fakultas Teknik","Program Studi S1 Pendidikan Teknik Bangunan 4"
30100767,"Politeknik Negeri Padang","Jurusan Teknik Sipil","S2 Magister Terapan Rekayasa Perawatan dan Restorasi Jembatan Jurusan Teknik Sipil"
30100768,"Politeknik Negeri Jakarta","Jurusan Administrasi Niaga","D4 Administrasi Bisnis Terapan"
30100770,"Politeknik Pertanian Negeri Kupang","Jurusan Peternakan",D3
30100777,"Politeknik Negeri Balikpapan","Jurusan Rekayasa Elektro","D3 Teknologi Listrik Jurusan Rekayasa Elektro"
30100778,"Politeknik Negeri Bali","Jurusan Pariwisata","D3 Usaha Perjalanan Wisata"
30100779,"Politeknik Negeri Balikpapan","Jurusan Pariwisata","D4 Pengelolaan Perhotelan Jurusan Pariwisata"
30100781,"Universitas Jambi","Fakultas Sains dan Teknologi","Prodi S1 Teknik Lingkungan Fakultas 1"
30100781,"Universitas Jambi","Fakultas Sains dan Teknologi","Prodi S1 Teknik Lingkungan Fakultas 2"
30100788,"Universitas Bangka Belitung","Fakultas Sains dan Teknik","Prodi S1 Teknologi Informasi Jurusan Teknologi 3"
30100790,"Universitas Manado","Fakultas Matematika Ilmu Pengetahuan Alam dan Kebumian","Prodi. S1 Biologi Jurusan Pendidikan Biologi Fakultas Matematika Ilmu Pengetahuan Alam dan Kebumian"
30100791,"Politeknik Negeri Bali","Jurusan Teknologi Informasi","D2 Adminstrasi Jaringan Komputer Jurusan Teknologi Informasi"
30100793,"Universitas Sriwijaya","Fakultas Studi Magister Pendidikan Bahasa Jurusan Pendidikan Bahasa dan Sastra Indonesia Fakultas Keguruan dan Ilmu Pendidikan","Jurusan Pendidikan Bahasa dan Sastra Indonesia Fakultas Keguruan dan Ilmu Pendidikan"
30100796,"Politeknik Negeri Bali","Jurusan Teknik Sipil","D4 Teknologi Rekayasa Konstruksi Bangunan Air"
30100802,"Universitas Bangka Belitung","Fakultas Kedokteran dan Ilmu Kesehatan","Prodi S1 Pendidikan Kedokteran 1"
30100804,"Politeknik Negeri Banyuwangi","Jurusan Pertanian","D4 Teknologi Budi Daya Perikanan"
30100810,"Universitas Pendidikan Ganesha","Fakultas Bahasa dan Seni","Program Studi D3 Desain Komunikasi Visual Jurusan 1"
30100811,"Politeknik Negeri Bali","Jurusan Teknik Mesin","D4 Rekayasa Perancangan Mekanik"
30100816,"Politeknik Negeri Bengkalis","Jurusan Teknik Sipil","Program Studi D3 Teknik Sipil"
30100823,"Politeknik Negeri Malang","Jurusan Teknologi Informasi","D3 Teknologi Informasi Kampus Lumajang Jurusan Teknologi Informasi"
30100824,"Politeknik Manufaktur Negeri Bandung",NULL,"Unit Penunjang Akademik Teknologi Informasi dan Komunikasi"
30100827,"Universitas Cenderawasih","Fakultas Matematika dan Ilmu Pengetahuan Alam","Prodi S1 Teknik 2"
30100831,"Universitas Samudra","Fakultas Bahasa Inggris Jurusan Pendidikan Bahasa dan Seni","Prodi S1 Pendidikan 2"
30100835,"Politeknik Negeri Malang","Jurusan Teknik Mesin","D3 Teknologi Pemeliharaan Pesawat Udara Jurusan Teknik Mesin"
30100836,"Universitas Tanjungpura","Fakultas Ekonomi dan Bisnis","Prodi S1 Ekonomi Islam Jurusan Ilmu Ekonomi Studi 1"
30100838,"Universitas Lampung","Fakultas Pembangunan","Prodi S1 Ekonomi Pembangunan Jurusan Ekonomi 3"
30100840,"Universitas Tanjungpura","Fakultas Ilmu Sosial dan Ilmu Politik","Prodi S2 Ilmu Administrasi Publik 4"
30100841,"Politeknik Negeri Malang","Bagian Perencanaan Keuangan dan Umum",NULL
30100846,"Politeknik Pertanian Negeri Kupang",NULL,"Unit Penunjang Akademik Teknologi Informasi dan Komunikasi"
30100853,"Politeknik Negeri Malang","Jurusan Teknik Kimia","D4 Teknologi Kimia Industri Jurusan Teknik Kimia"
30100855,"Politeknik Negeri Tanah Laut","Jurusan Rekayasa dan Industri",NULL
30100858,"Universitas Lambung Mangkurat","FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN","Prodi S1"
30100861,"Politeknik Negeri Semarang","Jurusan Administrasi Bisnis","Program Studi D3"
30100862,"Politeknik Negeri Pontianak","Jurusan Administrasi Bisnis","D4 Administrasi Bisnis Otomotif"
30100866,"Universitas Manado","Fakultas Ilmu Sosial dan Hukum","Prodi S2 3"
30100867,"Politeknik Negeri Padang","Jurusan Teknik Mesin","D4 Rekayasa Perancangan Mekanik Jurusan Teknik Mesin"
30100869,"Universitas Tidar","Fakultas Perikanan","Prodi S1 Akuakultur Jurusan Teknologi Peternakan dan 1"
30100872,"Universitas Jenderal Soedirman","Fakultas Matematika dan Ilmu Pengetahuan Alam","Prodi S1 3"
30100873,"Politeknik Pertanian Negeri Pangkajene Kepulauan","Jurusan Budidaya Perikanan",NULL
30100874,"Universitas Tadulako","Fakultas Administrasi","Prodi S1 Ilmu Pemerintahan Jurusan 6"
30100875,"Universitas Pendidikan Ganesha","Fakultas Bahasa dan Seni","Program Studi S1 Pendidikan Bahasa Inggris Jurusan 2"
30100876,"Universitas Riau","Fakultas Prodi S1 Pendidikan Fisika Jurusan Pendidikan Matematika dan Ilmu Pengetahuan Alam","Fakultas Prodi S1 Pendidikan Fisika Jurusan Pendidikan Matematika dan Ilmu Pengetahuan Alam"
30100881,"Politeknik Elektronika Negeri Surabaya","Bagian Perencanaan Keuangan dan Umum","Subbagian Umum Bagian Perencanaan Keuangan dan Umum"
30100882,"Politeknik Negeri Medan","Jurusan Akuntansi","D4 Keuangan dan Perbankan Syariah"
30100884,"Politeknik Negeri Padang",NULL,"Unit Penunjang Akademik Layanan Uji Kompetensi"
30100885,"Universitas Riau","Fakultas Pendidikan Pancasila dan Kewarganegaraan Jurusan Pendidikan Ilmu Pengetahuan Sosial","Prodi S1 3"
30100890,"Universitas Negeri Makassar","Fakultas Ilmu Sosial","Program Studi S1 Pendidikan Antropologi Jurusan Sosiologi 2"
30100892,"Politeknik Negeri Banyuwangi","Jurusan Pertanian","D4 Teknologi Produksi Tanaman Pangan Jurusan Pertanian"
30100895,"Universitas Pembangunan Nasional Veteran" Jakarta"","Fakultas Ilmu Kesehatan","Program Studi S-1 Keperawatan 4"
30100896,"Politeknik Negeri Jakarta","Jurusan Akuntansi","D4 Manajemen Keuangan"
30100897,"Politeknik Negeri Banyuwangi","Jurusan Bisnis dan Informatika","D4 Teknologi Rekayasa Komputer Jurusan Bisnis dan Informatika"
30100903,"Universitas Sembilanbelas Ilmu Pendidikan","Fakultas Keguruan dan Ilmu Pendidikan","Prodi S1 Pendidikan Fisika Fakultas Keguruan dan Ilmu Pendidikan"
30100904,"Universitas Sembilanbelas Ilmu Pendidikan","Fakultas Keguruan dan Ilmu Pendidikan","Prodi S1 Pendidikan Kimia Fakultas Keguruan dan Ilmu Pendidikan"
30100908,"Universitas Jambi","Fakultas Fakultas Kedokteran dan Ilmu Kesehatan","Prodi S1 Ilmu Keperawatan 4"
30100912,"Politeknik Negeri Malang","Jurusan Teknik Elektro","D3 Teknik Listrik Jurusan Teknik Elektro"
30100913,"Universitas Pendidikan Ganesha","Fakultas Olahraga dan Kesehatan","Program Studi S1 Pendidikan 1"
30100913,"Universitas Pendidikan Ganesha","Fakultas Olahraga dan Kesehatan","Program Studi S1 Pendidikan 4"
30100914,"Institut Seni Indonesia Padang","Fakultas Seni Rupa dan Desain","Program Studi S1 Televisi dan Film 3"
30100915,"Universitas Negeri Makassar","Fakultas Teknik","Program Studi S1 Pendidikan Teknik Elektro Pendidikan Teknik 4"
30100920,"Politeknik Negeri Sriwijaya","Jurusan Teknik Sipil",NULL
30100924,"Politeknik Negeri Bandung","Jurusan Teknik Mesin","D3 Teknik Aeronautika Jurusan Teknik Mesin"
30100931,"Universitas Tadulako","Fakultas Jurusan Pendidikan MIPA","Prodi S1 Pendidikan Matematika 2"
30100934,"Politeknik Negeri Samarinda","Jurusan Pariwisata","D3 Pariwisata Jurusan Pariwisata"
30100944,"Institut Seni Indonesia Padang","Fakultas Seni Pertunjukan","Program Studi S1 Antropologi Budaya 2"
30100945,"Universitas Sultan Ageng","Fakultas Ilmu Sosial dan Ilmu Politik","Jurusan S1 Ilmu 8"
30100947,"Universitas Pattimura","Fakultas Agrobisnis Perikanan Jurusan Agrobisnis Perikanan Fakultas Perikanan dan Ilmu Kelautan Universitas Pattimura","Prodi S1 2"
30100953,"Politeknik Elektronika Negeri Surabaya","Jurusan Teknologi Multimedia Kreatif",NULL
30100956,"Politeknik Pertanian Negeri Produksi Pertanian","Jurusan Teknologi Produksi Pertanian",NULL
30100958,"Universitas Cenderawasih","Fakultas Matematika dan Ilmu Pengetahuan Alam","Prodi S1 Biologi 2"
30100960,"Politeknik Negeri Pontianak","Jurusan Ilmu Kelautan dan Perikanan","D3 Teknologi Penangkapan Ikan"
30100962,"Politeknik Pertanian Negeri Pangkajene Kepulauan","Jurusan Teknologi Produksi Pertanian",NULL
30100963,"Universitas Sriwijaya","Fakultas Kelamin Fakultas Kedokteran","Program Studi Sp-1 Ilmu Penyakit Kulit Dan Kelamin Bagian Kulit dan 10"
30100965,"Universitas Sultan Ageng","Fakultas Kedokteran dan Ilmu Kesehatan","Jurusan S1 1"
30100965,"Universitas Sultan Ageng","Fakultas Kedokteran dan Ilmu Kesehatan","Jurusan S1 8"
30100966,"Politeknik Negeri Bengkalis",NULL,"Unit Penunjang Akademik Teknologi Informasi"
30100973,"Politeknik Negeri Semarang","Jurusan Teknik Sipil","Program Studi D3"
30100978,"Universitas Tanjungpura","Fakultas Ilmu Sosial dan Ilmu Politik","Prodi S1 Pembangunan Sosial Jurusan 4"
30100980,"Universitas Sriwijaya","Fakultas Kedokteran","Program Studi S2 Biomedik Bagian Pendidikan Kedokteran Fakultas 4"
30100984,"Universitas Riau","Fakultas Bahasa Jepang Jurusan Pendidikan Bahasa dan Seni","Prodi S1 Pendidikan 1"
30100987,"Universitas Bangka Belitung","Fakultas Pertanian Perikanan dan Kelautan","Prodi S1 2"
30100988,"Politeknik Negeri Malang","Jurusan Teknologi Informasi","D3 Manajemen Informatika Kampus Pamekasan Jurusan Teknologi Informasi"
30100990,"Politeknik Negeri Pontianak","Jurusan Teknik Elektro","D3 Teknik Listrik"
30100995,"Politeknik Negeri Jember","Jurusan Teknik","D4 Teknologi Rekayasa Mekatronika Jurusan Bisnis"
30100999,"Politeknik Negeri Bandung","Jurusan Teknik Kimia","D4 Teknik Kimia Produksi Bersih Jurusan Teknik Kimia"
30101002,"Politeknik Negeri Bandung","Jurusan Teknik Sipil","S2 Rekayasa Infrastruktur (Terapan) Jurusan Teknik Sipil"
30101003,"Politeknik Negeri Lampung","Jurusan Teknologi Pertanian","Program Studi S1 Tr. Teknologi Rekayasa Elektronika"
30101004,"Politeknik Perkapalan Negeri Surabaya","Jurusan Teknik Kelistrikan Kapal","D-IV Teknik Kelistrikan Kapal"
30101005,"Politeknik Negeri Sriwijaya","Jurusan Teknik Kimia","D3 Teknik Kimia (Kampus Kab. Siak) Jurusan Teknik Kimia"
30101008,"Politeknik Negeri Padang","Jurusan Administrasi Niaga",NULL
30101010,"Politeknik Negeri Pontianak","Jurusan Teknik Sipil","D3 Teknik Sipil PDD Kab. Kapuas Hulu"
30101011,"Politeknik Manufaktur Negeri Bandung","Jurusan Teknik Pengecoran Logam","D4 Teknologi Rekayasa Material Maju Jurusan Teknik Pengecoran Logam"
30101016,"Universitas Sam Ratulangi","Fakultas Pertanian","Program Studi S1 Agroteknologi Jurusan Teknologi Pertanian 3"
30101019,"Politeknik Negeri Manado","Jurusan Teknik Sipil","D4 Konstruksi Bangunan Gedung Jurusan Teknik Sipil"
30101020,"Politeknik Negeri Subang","Jurusan Teknik Perawatan dan Perbaikan Mesin","D4 Teknologi Rekayasa Manufaktur"
30101021,"Politeknik Negeri Kupang","Jurusan Teknik Mesin","D3 Teknik Mesin Jurusan Teknik Mesin"
30101024,"Politeknik Negeri Manado","Jurusan Akuntansi","D4 Akuntansi Keuangan Jurusan Akuntansi"
30101026,"Universitas Sultan Ageng","Fakultas Kedokteran dan Ilmu Kesehatan","Prodi D3 3"
30101029,"Politeknik Perkapalan Negeri Surabaya","Jurusan Teknik Kelistrikan Kapal","D-III Teknik Kelistrikan Kapal"
30101030,"Politeknik Elektronika Negeri Surabaya","Jurusan Teknologi Multimedia Kreatif","D4 Teknologi Game Jurusan Teknologi Multimedia Kreatif"
30101032,"Politeknik Negeri Pontianak","Jurusan Teknologi Pertanian","D4 Manajemen Perkebunan"
30101036,"Universitas Sam Ratulangi","Fakultas Kedokteran","Program Studi Pendidikan Dokter Spesialis-1 Obstetri dan 1"
30101042,"Universitas Mulawarman","Fakultas Perikanan dan Ilmu Kelautan","Prodi S1 Akuakultur Jurusan 5"
30101043,"Politeknik Negeri Banjarmasin","Jurusan Administrasi Bisnis","D3 Manajemen Informatika"
30101045,"Politeknik Negeri Padang","Jurusan Administrasi Niaga","D4 Usaha Perjalanan Wisata Jurusan Administrasi Niaga"
30101046,"Universitas Pattimura","Fakultas Administrasi Negara Jurusan Ilmu Administrasi Fakultas Ilmu Sosial dan Ilmu Politik Universitas Pattimura","Prodi S1 3"
30101050,"Universitas Sriwijaya","Fakultas Ilmu Kelautan Jurusan Ilmu Kelautan Fakultas Matematika dan Ilmu Pengetahuan Alam","Program Studi S1 3"
30101054,"Politeknik Negeri Sriwijaya","Jurusan Teknik Komputer","D3 Teknik Komputer Jurusan Teknik Komputer"
30101056,"Universitas Lampung","Fakultas Jurusan Pendidikan Dokter Spesialis (PPDS)","Prodi Sp-1 Pulmonologi dan Ilmu Kedokteran Respirasi 1"
30101058,"Politeknik Negeri Subang","Jurusan Teknologi Informasi dan Komputer","D4 Teknologi Rekayasa Perangkat Lunak"
30101062,"Universitas Pembangunan Nasional Veteran" Yogyakarta"","Fakultas Ilmu Sosial dan Ilmu Politik","Universitas Pembangunan Program Studi S1 Ilmu Hubungan Masyarakat Jurusan Ilmu Komunikasi"
30101063,"Universitas Pembangunan Nasional Veteran" Yogyakarta"","Fakultas Pertanian","Program Studi S2 Ilmu Tanah Jurusan 2"
30101065,"Universitas Riau","Fakultas Pendidikan Ekonomi Jurusan Pendidikan Ilmu Pengetahuan Sosial","Prodi S1 3"
30101066,"Universitas Pembangunan Nasional Veteran" Jakarta"","Fakultas Ilmu Sosial dan Ilmu Politik","Universitas Pembangunan Program Studi S-1 Ilmu Komunikasi Jurusan Ilmu Komunikasi Fakultas Ilmu Sosial dan Ilmu Politik"
30101067,"Politeknik Negeri Semarang","Jurusan Akuntansi","Program Studi D4"
30101069,"Politeknik Negeri Bandung","Jurusan Teknik Elektro","D3 Teknik Elektronika Jurusan Teknik Elektro"
30101071,"Universitas Palangka Raya","Fakultas Keguruan dan Ilmu Pendidikan","Prodi S1"
30101073,"Politeknik Negeri Jember","Jurusan Teknologi Informasi","D3 Manajemen Informatika Jurusan Teknologi Informasi"
30101074,"Universitas Tadulako","Fakultas Dasar Jurusan Ilmu Pendidikan","Prodi S1 Pendidikan Guru Sekolah 3"
30101075,"Universitas Sriwijaya","Fakultas Anestesiologi dan Reanimasi","Program Studi Sp-1 Anestesiologi Dan Reanimasi Bagian 15"
30101076,"Politeknik Negeri Bandung","Jurusan Teknik Kimia",NULL
30101078,"Politeknik Negeri Jakarta","Jurusan Teknik Informatika dan Komputer","D4 Teknik Informatika"
30101085,"Politeknik Negeri Malang","Jurusan Akuntansi","D4 Akuntansi Manajemen Kampus Pamekasan Jurusan Akuntansi"
30101088,"Universitas Tanjungpura","Fakultas Matematika dan Ilmu Pengetahuan Alam","Prodi S1 Fisika 1"
30101089,"Universitas Pembangunan Nasional Veteran" Yogyakarta"","Fakultas Teknologi Mineral dan Energi","Program Studi S1 Teknik Pertambangan Jurusan Teknik Pertambangan"
30101097,"Politeknik Negeri Tanah Laut","Bagian Perencanaan Keuangan dan Umum",NULL
30101098,"Politeknik Negeri Ujung Pandang","Jurusan Teknik Mesin","D3 Teknik Konversi Energi"
30101100,"Politeknik Negeri Jakarta","Jurusan Administrasi Niaga","D4 Usaha Jasa Konvensi Perjalanan Insentif dan Pameran /MICE"
30101102,"Politeknik Negeri Ujung Pandang","Jurusan Teknik Mesin","D4 Teknik Pembangkit Energi"
30101103,"Universitas Jenderal Soedirman","Fakultas Ilmu-Ilmu Kesehatan","Prodi S2 Kesehatan Masyarakat 2"
30101105,"Politeknik Negeri Bandung","Jurusan Akuntansi","D4 Keuangan Syariah Jurusan Akuntansi"
30101106,"Politeknik Negeri Sriwijaya","Jurusan Teknik Elektro","D4 Teknik Telekomunikasi Jurusan Teknik Elektro"
30101110,"Universitas Negeri Makassar","Fakultas Ilmu Sosial","Program Studi S1 Pendidikan Sosiologi Jurusan Sosiologi 7"
30101113,"Politeknik Pertanian Negeri Samarinda","Jurusan Rekayasa dan Komputer","D3 Sistem Informasi Akuntansi Jurusan Rekayasa dan Komputer"
30101114,"Universitas Sriwijaya","Fakultas Internasional Jurusan Hubungan Internasional Fakultas Ilmu Sosial dan Ilmu Politik","Program Studi S1 Ilmu Hubungan 1"
30101115,"Universitas Tanjungpura","Fakultas Matematika dan Ilmu Pengetahuan Alam","Prodi S1 2"
30101118,"Politeknik Maritim Negeri Indonesia","Jurusan Teknika","Program Studi"
30101120,"Politeknik Manufaktur Negeri Bandung","Jurusan Teknik Manufaktur","D4 Manajemen Teknologi Rekayasa Jurusan Teknik Manufaktur"
30101122,"Universitas Pembangunan Nasional Veteran" Yogyakarta"","Fakultas Teknologi Mineral dan Energi","Program Studi S2 Teknik Pertambangan Jurusan Teknik Pertambangan"
30101124,"Universitas Riau","Fakultas Agrobisnis Perikanan","Prodi S1 Agrobisnis Perikanan Jurusan 1"
30101124,"Universitas Riau","Fakultas Agrobisnis Perikanan","Prodi S1 Agrobisnis Perikanan Jurusan 3"
30101126,"Universitas Palangka Raya","Fakultas Pertanian Kehutanan dan Perikanan","Prodi S1 Agroteknologi Fakultas 7"
30101133,"Politeknik Negeri Cilacap","Jurusan Komputer dan Bisnis","Program Studi Teknik Informatika"
30101134,"Politeknik Negeri Ambon","Jurusan Teknik Elektro","Program Studi D-III Teknik Listrik Jurusan Teknik Elektro"
30101137,"Universitas Manado","Fakultas Ilmu Sosial dan Hukum","Prodi. S1 3"
30101140,"Politeknik Negeri Bali","Jurusan Teknik Sipil","D4 Teknologi Rekayasa Konstruksi Bangunan Gedung"
30101141,"Politeknik Negeri Bali","Jurusan Akuntansi","D2 Administrasi Perpajakan"
30101142,"Universitas Jenderal Soedirman","Fakultas Perikanan dan Ilmu Kelautan","Prodi S1 Ilmu Kelautan Jurusan 2"
30101147,"Universitas Samudra","Fakultas Matematika dan Ilmu Pengetahuan Alam","Prodi S1 Matematika Jurusan 1"
30101147,"Universitas Samudra","Fakultas Matematika dan Ilmu Pengetahuan Alam","Prodi S1 Matematika Jurusan 2"
30101148,"Politeknik Pertanian Negeri Payakumbuh","Bagian Perencanaan Keuangan dan Umum",NULL
30101154,"Politeknik Maritim Negeri Indonesia","Jurusan Teknika","Program Studi"
30101157,"Politeknik Negeri Bali","Jurusan Pariwisata","S2 Terapan Perencanaan Pariwisata"
30101160,"Universitas Lampung","Fakultas Bahasa Perancis Jurusan Pendidikan Bahasa dan Seni","Prodi S1 Pendidikan 2"
30101161,"Universitas Negeri Makassar","Fakultas Matematika dan Ilmu Pengetahuan Alam","Program Studi S1 2"
