lc_code,inst,faculty,dept
30100168,"Universitas Samudra","Fakultas Prodi S1 Pendidikan Biologi Jurusan Pendidikan Matematika dan Ilmu Pengetahuan Alam","Fakultas Prodi S1 Pendidikan Biologi Jurusan Pendidikan Matematika dan Ilmu Pengetahuan Alam"
30100169,"Politeknik Negeri Ujung Pandang","Jurusan Teknik Informatika dan Komputer","D4 Teknik Multimedia dan Jaringan"
30100171,"Institut Seni Indonesia Padang","Fakultas Seni Pertunjukan","Program Studi S1 Studi Humanitas Jurusan 3"
30100172,"Universitas Lambung Mangkurat","FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN","Prodi S1"
30100175,"Politeknik Perikanan Negeri Tual","Jurusan Rekayasa Perikanan dan Kelautan",NULL
30100176,"Politeknik Negeri Media Kreatif","Jurusan Desain Grafis","Program Studi D4 Animasi"
30100184,"Universitas Pattimura","Fakultas Universitas Pattimura","Prodi S1 Teknik Mesin Jurusan Teknik Mesin Fakultas Teknik 1"
30100185,"Universitas Sriwijaya","Fakultas Bagian Kebidanan dan Kandungan Fakultas Kedokteran","Program Studi Sp-2 Ilmu Kebidanan dan Penyakit Kandungan 8"
30100190,"Politeknik Negeri Padang","Jurusan Administrasi Niaga","D4 Bisnis Digital Jurusan Teknik Elektro"
30100197,"Politeknik Negeri Ujung Pandang","Jurusan Teknik Elektro","D3 Teknik Listrik"
30100201,"Politeknik Negeri Ujung Pandang","Jurusan Teknik Kimia","D4 Teknologi Rekayasa Kimia Berkelanjutan"
30100202,"Politeknik Negeri Jakarta","Jurusan Teknik Grafika dan Penerbitan","D4 Teknologi Industri Cetak Kemasan"
30100203,"Universitas Manado","Fakultas Teknik","Prodi S1 Teknik Mesin Jurusan Pendidikan Teknik Mesin 2"
30100208,"Institut Seni Budaya Indonesia","Fakultas Seni Rupa dan Desain","Prodi S1 Desain Komunikasi Visual 4"
30100209,"Politeknik Perkapalan Negeri Surabaya","Jurusan Teknik Bangunan Kapal","D-III Teknik Perancangan dan Konstruksi Kapal"
30100210,"Universitas Negeri Makassar","Fakultas Bahasa dan Sastra","Program Studi S1 Pendidikan Bahasa Inggris Jurusan 3"
30100213,"Politeknik Negeri Sriwijaya","Jurusan Teknik Kimia","D3 Teknik Kimia Jurusan Teknik Kimia"
30100215,"Universitas Negeri Makassar","Fakultas Ilmu Sosial","Program Studi S1 Pendidikan Pancasila dan 6"
30100216,"Institut Seni Indonesia Padang","Fakultas Seni Rupa dan Desain","Program Studi S1 Kriya Seni Jurusan 1"
30100218,"Politeknik Negeri Samarinda","Jurusan Teknik Mesin","D3 Perawatan dan Perbaikan Mesin Jurusan Teknik Mesin"
30100219,"Politeknik Negeri Jakarta","Jurusan Teknik Grafika dan Penerbitan","D4 Desain Grafis"
30100226,"Politeknik Negeri Banjarmasin","Bagian Akademik dan Kemahasiswaan","Subbagian Akademik"
30100227,"Politeknik Pertanian Negeri Kemaritiman","Jurusan Teknologi Kemaritiman",NULL
30100235,"Universitas Pembangunan Nasional Veteran" Jakarta"","Fakultas Ilmu Sosial dan Ilmu Politik","Universitas Pembangunan Program Studi S-1 Sains Informasi Jurusan Ilmu Komunikasi Fakultas Ilmu Sosial dan Ilmu Politik"
30100237,"Politeknik Negeri Ambon","Jurusan Teknik Sipil","Program Studi D-III Teknik Sipil Jurusan Teknik Sipil"
30100239,"Politeknik Negeri Lampung","Bagian Keuangan dan Umum",NULL
30100245,"Universitas Negeri Medan","Fakultas Ilmu Keolahragaan","Prodi S1 Pendidikan Jasmani Kesehatan dan 10"
30100246,"Politeknik Negeri Jakarta","Jurusan Akuntansi","D4 Akuntansi Keuangan"
30100248,"Institut Seni Budaya Indonesia","Fakultas Seni Rupa dan Desain","Prodi D4 Tata Rias dan Busana Jurusan 9"
30100251,"Politeknik Negeri Cilacap","Jurusan Rekayasa Elektro dan Mekatronika","Program Studi Teknologi Rekayasa Mekatronika"
30100256,"Politeknik Negeri Semarang",NULL,"Unit Penunjang Akademik Pengembangan Karier dan Kewirausahaan"
30100257,"Universitas Tadulako","Fakultas Komunikasi","Prodi S1 Ilmu Komunikasi Jurusan Ilmu 1"
30100260,"Universitas Sam Ratulangi","Fakultas Ilmu Sosial dan Ilmu Politik","Program Studi S1 Ilmu 4"
30100263,"Politeknik Negeri Media Kreatif","Jurusan Teknik Grafika","Program Studi D3 Pemeliharaan Mesin-Jurusan Teknik Grafika"
30100266,"Politeknik Negeri Semarang","Jurusan Administrasi Bisnis","Program Studi D3"
30100270,"Universitas Tanjungpura","Fakultas Ilmu Sosial dan Ilmu Politik","Prodi D3 Administrasi 4"
30100272,"Politeknik Negeri Lampung","Jurusan Ekonomi dan Bisnis","Program Studi D3 Manajemen Informatika"
30100273,"Universitas Riau","Fakultas Jurusan Matematika","Prodi S1 Statistik 2"
30100274,"Politeknik Negeri Madura","Jurusan Teknologi Elektro",NULL
30100275,"Politeknik Negeri Semarang","Jurusan Akuntansi","Program Studi D4"
30100277,"Politeknik Manufaktur Negeri Bandung","Jurusan Teknik Manufaktur","D4 Teknologi Rekayasa Manufaktur Jurusan Teknik Manufaktur"
30100280,"Politeknik Negeri Lampung","Jurusan Budidaya Tanaman Pangan","Program Studi S1 Tr. Teknologi Produksi Tanaman Hortikultura"
30100282,"Universitas Tanjungpura","Fakultas Ekonomi dan Bisnis","Prodi S1 Ekonomi Pembangunan Jurusan Ilmu Ekonomi Studi 1"
30100285,NULL,"Fakultas Teknik","Program Studi Sarjana Terapan (D4) Rekayasa Perancangan Mekanik"
30100286,"Politeknik Negeri Bali","Jurusan Akuntansi","D3 Akuntansi"
30100287,"Universitas Manado","Fakultas Teknik","Prodi. S1 Pendidikan Teknologi Informasi 6"
30100288,"Universitas Jambi","Fakultas Fakultas Keguruan dan Ilmu Pendidikan","Prodi S1 Arkeologi 2"
30100288,"Universitas Jambi","Fakultas Fakultas Keguruan dan Ilmu Pendidikan","Prodi S1 Arkeologi 3"
30100299,"Politeknik Negeri Sriwijaya","Jurusan Teknik Sipil","D3 Teknik Sipil Jurusan Teknik Sipil"
30100300,"Politeknik Negeri Fakfak","Jurusan Manajemen Informatika","Program Studi D3 Manajemen Informatika Jurusan Manajemen Informatika"
30100302,"Universitas Manado","Fakultas Teknik","Prodi. S1 Teknik Informatika Jurusan 10"
30100306,"Universitas Pembangunan Nasional Veteran" Jakarta"","Fakultas Ilmu Kesehatan","Program Studi S-1 1"
30100311,"Universitas Palangka Raya","Fakultas Keguruan dan Ilmu Pendidikan","Prodi S1"
30100312,"Politeknik Negeri Bandung","Jurusan Teknik Sipil","D4 Teknik Perancangan Jalan Dan Jembatan Jurusan Teknik Sipil"
30100319,"Universitas Lambung Mangkurat","FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN","UNIVERSITAS LAMBUNG Prodi S1"
30100320,"Politeknik Negeri Sriwijaya","Jurusan Akuntansi","D4 Akuntansi Sektor Publik Jurusan Akuntansi"
30100322,"Politeknik Negeri Ketapang","Jurusan Teknik Sipil dan Pertambangan","D3 Teknolgi Pertambangan Jurusan Teknik Sipil dan Pertambangan"
30100325,"Universitas Lambung Mangkurat","FAKULTAS PERIKANAN DAN ILMU KELAUTAN","Prodi S1"
30100326,"Universitas Bangka Belitung","Fakultas Sains dan Teknik","S1 Prodi Teknik Pertambangan Jurusan Teknik 2"
30100329,"Politeknik Negeri Jember","Jurusan Teknologi Informasi",NULL
30100330,"Universitas Tanjungpura","Fakultas Matematika dan Ilmu Pengetahuan Alam","Prodi S1 3"
30100331,"Politeknik Pertanian Negeri Pangkajene Kepulauan","Jurusan Teknologi Kemaritiman","Program Studi D3 Penangkapan Ikan Jurusan Teknologi Kemaritiman"
30100332,"Politeknik Negeri Sambas","Jurusan Teknik Mesin",NULL
30100334,"Politeknik Negeri Subang","Jurusan Kesehatan","D3 Keperawatan"
30100335,"Politeknik Negeri Indramayu","Jurusan Kesehatan",NULL
30100336,"Universitas Lampung","Fakultas Kimia","Prodi S1 Kimia Jurusan 2"
30100337,"Universitas Sriwijaya","Fakultas Mesin Jurusan Ilmu Pendidikan Fakultas Keguruan dan Ilmu Pendidikan","Program Studi S1 Pendidikan Teknik 4"
30100339,"Politeknik Negeri Bali","Jurusan Teknologi Informasi","D3 Manajemen Informatika Jurusan Teknologi Informasi"
30100340,"Politeknik Pertanian Negeri Teknologi Pertanian","Jurusan Teknologi Pertanian",NULL
30100342,"Universitas Lampung","Fakultas Jurusan Hubungan Internasional","Prodi S1 Hubungan Internasional 2"
30100344,"Universitas Tadulako","Fakultas Ekonomi dan Studi Pembangunan","Prodi S2 Ekonomi Jurusan Ilmu 3"
30100346,"Universitas Samudra","Fakultas Pendidikan Jasmani Jurusan Pendidikan Ilmu Pengetahuan Sosial","Prodi S1 1"
30100346,"Universitas Samudra","Fakultas Pendidikan Jasmani Jurusan Pendidikan Ilmu Pengetahuan Sosial","Prodi S1 4"
30100349,"Universitas Sam Ratulangi","Fakultas Ilmu Sosial dan Ilmu Politik","Program Studi S1 Ilmu 1"
30100350,"Politeknik Elektronika Negeri Surabaya","Jurusan Teknik Elektro","D4 Teknologi Rekayasa Internet Jurusan Teknik Elektro"
30100351,"Politeknik Negeri Bengkalis","Jurusan Teknik Informatika","Program Studi D3 Teknik Informatika"
30100354,"Universitas Pattimura","Fakultas Pemerintahan Jurusan Ilmu Administrasi Fakultas Ilmu Sosial dan Ilmu Politik Universitas Pattimura","Prodi S1 Ilmu 2"
